,Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num,GFPG,GAPG,CS%,WC_GFPG,WC_GAPG
0,Iran,AFC,21,1.15,1.1,2175.0,4015.0,1562.0,1120.0,293.0,256.0,390.0,81.0,23.0,10.0,5.0,1.0,0.0,Iran (Islamic Republic of),IRN,364.0,1.8459770114942529,0.7181609195402299,0.5149425287356322,0.8737201365187713,1.3310580204778157
1,Japan,AFC,23,1.2,1.15,2185.0,4249.0,1444.0,1168.0,342.0,293.0,413.0,91.0,30.0,12.0,5.0,0.0,0.0,Japan,JPN,392.0,1.9446224256292906,0.6608695652173913,0.5345537757437071,0.8567251461988304,1.2076023391812865
2,South Korea,AFC,29,1.15,1.1,2144.0,3959.0,1576.0,1087.0,299.0,270.0,378.0,80.0,29.0,8.0,5.0,2.0,1.0,Korea (the Republic of),KOR,410.0,1.8465485074626866,0.7350746268656716,0.5069962686567164,0.903010033444816,1.2642140468227425
3,Australia,AFC,42,0.95,0.9,1946.0,3057.0,1583.0,914.0,144.0,119.0,210.0,44.0,9.0,0.0,0.0,0.0,0.0,Australia,AUS,36.0,1.5709146968139773,0.8134635149023638,0.4696813977389517,0.8263888888888888,1.4583333333333333
4,Saudi Arabia,AFC,49,0.95,0.95,1981.0,3113.0,1582.0,944.0,172.0,117.0,259.0,51.0,9.0,4.0,1.0,1.0,1.0,Saudi Arabia,SAU,682.0,1.5714285714285714,0.7985865724381626,0.47652700656234226,0.6802325581395349,1.505813953488372
5,Qatar,AFC,51,0.9,0.9,335.0,228.0,459.0,93.0,335.0,228.0,459.0,100.0,21.0,4.0,1.0,0.0,0.0,Qatar,QAT,634.0,0.6805970149253732,1.3701492537313433,0.27761194029850744,0.6805970149253732,1.3701492537313433
6,UAE,AFC,68,0.8,0.8,1809.0,2427.0,1592.0,811.0,94.0,75.0,154.0,27.0,8.0,3.0,0.0,0.0,0.0,United Arab Emirates (the),ARE,784.0,1.341625207296849,0.8800442233278054,0.4483139856274185,0.7978723404255319,1.6382978723404256
7,Iraq,AFC,72,0.85,0.75,1657.0,2459.0,1556.0,676.0,69.0,45.0,120.0,20.0,6.0,2.0,0.0,0.0,0.0,Iraq,IRQ,368.0,1.484007242003621,0.9390464695232348,0.407966203983102,0.6521739130434783,1.7391304347826086
8,Oman,AFC,75,0.7,0.75,1577.0,1957.0,1452.0,711.0,48.0,22.0,91.0,16.0,0.0,0.0,0.0,0.0,0.0,Oman,OMN,512.0,1.2409638554216869,0.9207355738744452,0.450856055802156,0.4583333333333333,1.8958333333333333
9,China,AFC,77,0.7,0.7,1296.0,1662.0,1353.0,504.0,22.0,15.0,48.0,7.0,1.0,0.0,0.0,0.0,0.0,China,CHN,156.0,1.2824074074074074,1.0439814814814814,0.3888888888888889,0.6818181818181818,2.1818181818181817
10,Uzbekistan,AFC,83,0.75,0.75,1371.0,1766.0,1364.0,515.0,36.0,20.0,67.0,11.0,1.0,1.0,0.0,0.0,0.0,Uzbekistan,UZB,860.0,1.288110867979577,0.9948942377826404,0.37563822027717,0.5555555555555556,1.8611111111111112
11,Syria,AFC,88,0.75,0.75,1573.0,2015.0,1538.0,641.0,40.0,37.0,57.0,12.0,3.0,1.0,0.0,0.0,0.0,Syrian Arab Republic (the),SYR,760.0,1.28099173553719,0.9777495232040686,0.40750158931977115,0.925,1.425
12,Bahrain,AFC,89,0.55,0.6,1074.0,1110.0,1172.0,400.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Bahrain,BHR,48.0,1.0335195530726258,1.091247672253259,0.37243947858473,0.0,2.3333333333333335
13,Jordan,AFC,91,0.65,0.65,1227.0,1449.0,1241.0,496.0,12.0,5.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,Jersey,JEY,832.0,1.1809290953545233,1.0114099429502852,0.4042379788101059,0.4166666666666667,1.75
14,Kyrgyzstan,AFC,95,0.45,0.55,890.0,801.0,1021.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kyrgyzstan,KGZ,417.0,0.9,1.1471910112359551,0.3404494382022472,,
15,Vietnam,AFC,96,0.6,0.6,1190.0,1341.0,1327.0,431.0,6.0,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,Viet Nam,VNM,704.0,1.126890756302521,1.115126050420168,0.3621848739495798,0.16666666666666666,3.3333333333333335
16,Lebanon,AFC,97,0.7,0.65,1266.0,1615.0,1424.0,426.0,18.0,9.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,Lebanon,LBN,422.0,1.2756714060031595,1.1248025276461295,0.33649289099526064,0.5,2.0555555555555554
17,Palestine,AFC,100,0.6,0.55,990.0,1113.0,1143.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Palestine, State of",PSE,275.0,1.1242424242424243,1.1545454545454545,0.3282828282828283,,
18,India,AFC,106,0.6,0.6,1011.0,1186.0,1094.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,IND,356.0,1.1730959446092977,1.0820969337289812,0.37091988130563797,,
19,North Korea,AFC,109,0.57,0.55,993.0,1104.0,1132.0,371.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Korea (the Democratic People's Republic of),PRK,408.0,1.1117824773413898,1.1399798590130916,0.37361530715005037,0.0,3.0
20,Thailand,AFC,111,0.65,0.55,1048.0,1251.0,1213.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thailand,THA,764.0,1.1937022900763359,1.157442748091603,0.3349236641221374,,
21,Tajikistan,AFC,114,0.48,0.5,830.0,800.0,1060.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tajikistan,TJK,762.0,0.963855421686747,1.2771084337349397,0.3168674698795181,,
22,Philippines,AFC,133,0.52,0.55,952.0,962.0,1079.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philippines (the),PHL,608.0,1.0105042016806722,1.1334033613445378,0.3550420168067227,,
23,Turkmenistan,AFC,134,0.48,0.48,900.0,882.0,1152.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Turkmenistan,TKM,795.0,0.98,1.28,0.3322222222222222,,
24,Kuwait,AFC,146,0.5,0.5,880.0,871.0,1123.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuwait,KWT,414.0,0.9897727272727272,1.2761363636363636,0.3352272727272727,,
25,Hong Kong,AFC,147,0.4,0.4,850.0,694.0,1355.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hong Kong,HKG,344.0,0.8164705882352942,1.5941176470588236,0.23294117647058823,,
26,Afghanistan,AFC,150,0.5,0.5,910.0,819.0,1202.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,AFG,4.0,0.9,1.3208791208791208,0.30439560439560437,,
27,Yemen,AFC,151,0.6,0.55,984.0,1064.0,1176.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yemen,YEM,887.0,1.08130081300813,1.1951219512195121,0.32621951219512196,,
28,Myanmar,AFC,152,0.48,0.5,830.0,745.0,1051.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Myanmar,MMR,104.0,0.8975903614457831,1.2662650602409637,0.3132530120481928,,
29,Malaysia,AFC,154,0.55,0.5,870.0,924.0,1132.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malaysia,MYS,458.0,1.0620689655172413,1.3011494252873563,0.3080459770114943,,
30,Maldives,AFC,156,0.4,0.35,820.0,631.0,1525.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maldives,MDV,462.0,0.7695121951219512,1.8597560975609757,0.20365853658536584,,
