,Name,Country,Position,ShirtNumber,Attack,Passing,P,Goals,Assists,Confederation,WC_P,WC_Goals,WC_Assists,GPG,APG,WC_GPG,WC_APG
0,Eiji Kawashima,Japan,GK,#1,0,0,5373,0,0,AFC,779,0,0,0.0,0.0,0.0,0.0
1,Yugo Nagtomo,Japan,DEF,#3,2,2,5373,480,296,AFC,779,25,20,0.0893355667225014,0.05509026614554253,0.03209242618741977,0.025673940949935817
2,Hiroki Sakai,Japan,DEF,#2,3,2,5373,639,293,AFC,779,42,23,0.11892797319932999,0.054531918853526894,0.05391527599486521,0.029525032092426188
3,Maya Yoshida,Japan,DEF,#4,3,5,5373,651,771,AFC,779,37,43,0.12116136236739251,0.14349525404801786,0.04749679075738126,0.055198973042362
4,Takehiro Tomiyasu,Japan,DEF,#24,1,5,5373,206,719,AFC,779,12,49,0.03833984738507352,0.13381723431974687,0.01540436456996149,0.06290115532734275
5,Wataru Endo,Japan,MID,#6,2,4,5373,458,617,AFC,779,29,41,0.08524101991438675,0.11483342639121534,0.037227214377406934,0.05263157894736842
6,Makoto Hasebe,Japan,MID,#5,3,4,5373,705,580,AFC,779,53,40,0.13121161362367392,0.10794714312302252,0.06803594351732992,0.051347881899871634
7,Takumi Minamino,Japan,MID,#7,7,10,5373,1639,1360,AFC,779,108,87,0.3050437372045412,0.2531174390470873,0.1386392811296534,0.1116816431322208
8,Takefusi Kubo,Japan,MID,#12,7,10,5373,1641,1378,AFC,779,117,93,0.30541596873255167,0.2564675227991811,0.15019255455712452,0.11938382541720154
9,Musashi Suzuki,Japan,ATK,#9,8,8,5373,1787,1086,AFC,779,123,83,0.3325888702773125,0.20212171970965942,0.15789473684210525,0.10654685494223363
10,Takuma Asano,Japan,ATK,#10,9,8,5373,2039,1106,AFC,779,157,74,0.37949004280662574,0.20584403498976364,0.20154043645699615,0.09499358151476252
11,Alireza Beiranvand,Iran,GK,#1,0,0,5380,0,0,AFC,788,0,0,0.0,0.0,0.0,0.0
12,Hossein Kanaanizadegan,Iran,DEF,#3,2,2,5380,406,281,AFC,788,27,23,0.07546468401486989,0.052230483271375465,0.03426395939086294,0.02918781725888325
13,Sadegh Moharrami,Iran,DEF,#2,3,2,5380,611,301,AFC,788,43,22,0.11356877323420074,0.05594795539033457,0.05456852791878172,0.027918781725888325
14,Milad Mohammadi,Iran,DEF,#4,2,5,5380,387,761,AFC,788,29,60,0.07193308550185874,0.14144981412639404,0.03680203045685279,0.07614213197969544
15,Morteza Pouraliganji,Iran,DEF,#5,2,5,5380,382,717,AFC,788,30,51,0.07100371747211896,0.133271375464684,0.03807106598984772,0.06472081218274112
16,Valid Amiri,Iran,MID,#6,4,4,5380,847,554,AFC,788,62,52,0.1574349442379182,0.10297397769516729,0.07868020304568528,0.06598984771573604
