Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num
Iran,AFC,21,1.15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Iran (Islamic Republic of),IRN,364
Japan,AFC,23,1.2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Japan,JPN,392
South Korea,AFC,29,1.15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Korea (the Republic of),KOR,410
Australia,AFC,42,0.95,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,AUS,36
Saudi Arabia,AFC,49,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,Saudi Arabia,SAU,682
Qatar,AFC,51,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Qatar,QAT,634
UAE,AFC,68,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,United Arab Emirates (the),ARE,784
Iraq,AFC,72,0.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Iraq,IRQ,368
Oman,AFC,75,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Oman,OMN,512
China,AFC,77,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,China,CHN,156
Uzbekistan,AFC,83,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Uzbekistan,UZB,860
Syria,AFC,88,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Syrian Arab Republic (the),SYR,760
Bahrain,AFC,89,0.55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahrain,BHR,48
Jordan,AFC,91,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,Jersey,JEY,832
Kyrgyzstan,AFC,95,0.45,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyrgyzstan,KGZ,417
Vietnam,AFC,96,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Viet Nam,VNM,704
Lebanon,AFC,97,0.7,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,Lebanon,LBN,422
