Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins
Iran,AFC,21,1.15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,AFC,23,1.2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,AFC,29,1.15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AFC,42,0.95,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,AFC,49,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,AFC,51,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,AFC,68,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,AFC,72,0.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,AFC,75,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
China,AFC,77,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,AFC,83,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,AFC,88,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,AFC,89,0.55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,AFC,91,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,AFC,95,0.45,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,AFC,96,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,AFC,97,0.7,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,AFC,100,0.6,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
India,AFC,106,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,AFC,109,0.57,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,AFC,111,0.65,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,AFC,114,0.48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,AFC,133,0.52,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,AFC,134,0.48,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,AFC,146,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,AFC,147,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFC,150,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,AFC,151,0.6,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,AFC,152,0.48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,AFC,154,0.55,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,AFC,156,0.4,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Taipei,AFC,157,0.45,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,AFC,158,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,AFC,159,0.45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
